AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,EulerX,EulerY,EulerZ,q0,q1,q2,q3
0.211304,0.038978998,-0.983747,-4.6199994,1.3037499,-0.19249998,0.17500001,-0.085540004,1.0299801,-176.00098,11.627345,-8.925443,0.026729356,0.9915114,-0.07383958,0.103626035
0.211304,0.038978998,-0.983747,-4.6199994,1.3037499,-0.19249998,0.17654,-0.08568,1.03362,-176.00877,11.665647,-8.871737,0.026683465,0.9915148,-0.07336777,0.10393973
0.22246699,0.034831,-0.99917996,-4.1649995,1.7062498,-0.28874996,0.18172,-0.084,1.03362,-176.21541,12.033421,-8.816731,0.024689177,0.9912745,-0.07294855,0.106975555
0.22246699,0.034831,-0.99917996,-4.1649995,1.7062498,-0.28874996,0.17542,-0.08386,1.03432,-176.19363,12.133521,-8.77903,0.024843346,0.9912044,-0.0725663,0.10784666
0.208315,0.028731,-0.997045,-4.1037498,1.8987501,-0.62125,0.17696,-0.08498,1.0316601,-176.5012,11.672953,-8.6992855,0.022573398,0.991724,-0.07231894,0.10365283
0.21167,0.030561,-0.989725,-4.8912497,1.8549999,-0.48125,0.17766,-0.082880005,1.02886,-176.39299,11.717236,-8.687109,0.02349062,0.99167156,-0.07210059,0.10410162
0.21167,0.030561,-0.989725,-4.8912497,1.8549999,-0.48125,0.17108001,-0.09002,1.03418,-176.24876,11.727287,-8.716966,0.024704669,0.99161375,-0.072224356,0.10428566
0.21990499,0.041724,-0.98996896,-4.9962497,1.81125,0.2625,0.1736,-0.082040004,1.03796,-175.91913,11.988865,-8.708007,0.02738448,0.9913154,-0.07174806,0.10675268
0.21990499,0.041724,-0.98996896,-4.9962497,1.81125,0.2625,0.17948,-0.08764,1.0361401,-175.84404,12.064018,-8.679934,0.028008444,0.99124813,-0.071406476,0.10744254
0.220515,0.035746,-0.99307996,-4.4887495,1.5049999,0.20124999,0.17388001,-0.08834,1.0395,-176.08969,12.1123085,-8.646399,0.025881737,0.9912836,-0.07132891,0.10769917
0.217343,0.034343,-0.99588597,-4.5412498,1.5924999,-0.34999996,0.17962,-0.09002,1.04384,-176.14775,11.986362,-8.6195545,0.025490705,0.99142545,-0.07119654,0.10656805
0.217343,0.034343,-0.99588597,-4.5412498,1.5924999,-0.34999996,0.17164001,-0.08456,1.0361401,-176.2218,11.954569,-8.578736,0.024909524,0.9914952,-0.07092347,0.106238216
0.21246299,0.036417,-0.991067,-4.47125,1.2687498,-0.21,0.17542,-0.086940005,1.03138,-176.11656,11.770771,-8.557915,0.025963996,0.991646,-0.070711985,0.104709044
0.21246299,0.036417,-0.991067,-4.47125,1.2687498,-0.21,0.1729,-0.08218,1.03726,-176.2166,11.725439,-8.49817,0.025183253,0.9917444,-0.07030227,0.10424204
0.215818,0.032146998,-0.991555,-4.9087496,1.3037499,0,0.18354,-0.08106,1.03642,-176.40414,11.868437,-8.454031,0.023504756,0.9916865,-0.07004252,0.10535476
